Type,State,QuestionID,Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,CorrectIndex,Explanation
state,NJ,NJ001,gdlLicensing,What restriction applies to all NJ graduated driver license holders during the permit phase?,Must be accompanied by a licensed adult supervisor,May drive alone during daylight hours,Can transport any number of passengers,Has no nighttime driving restrictions,A,0,During the GDL permit phase in New Jersey drivers must always have a licensed adult supervisor in the vehicle to ensure proper guidance and safety while learning to drive.
state,NJ,NJ002,gdlLicensing,When can a New Jersey GDL probationary driver remove passenger restrictions?,Never until age twenty-one,After one year with probationary license,Only after completing driver education,Only after passing a road test again,B,1,New Jersey probationary drivers can remove passenger restrictions after completing one year with the probationary license while maintaining a clean driving record.
state,NJ,NJ003,cellPhone,What is the primary reason New Jersey prohibits handheld cell phone use while driving?,To reduce vehicle maintenance costs,To lower fuel consumption rates,To minimize driver distraction risks,To decrease insurance premium rates,C,2,New Jersey prohibits handheld cell phone use because it significantly distracts drivers and increases the risk of accidents by diverting attention from the road.
state,NJ,NJ004,duiStateLaws,What happens to your driving privileges after a first DUI conviction in New Jersey?,You receive a formal warning letter,You must attend traffic school only,Your license is temporarily restricted,Your license is suspended for a period,D,3,A first DUI conviction in New Jersey results in license suspension as part of the penalties designed to deter impaired driving and protect public safety.
state,NJ,NJ005,stateUnique,What must all New Jersey drivers do when approaching a school bus with flashing red lights?,Stop and remain stopped until lights stop,Slow down and proceed with caution,Honk to alert the bus driver,Flash headlights to acknowledge,A,0,New Jersey law requires all drivers to stop when approaching a school bus displaying flashing red lights and remain stopped until the lights are deactivated to protect children boarding or exiting.
state,NJ,NJ006,gdlLicensing,What is required before a New Jersey teen can take the road test for a probationary license?,Completion of a vision test only,Supervised practice driving hours,Purchase of vehicle insurance,Enrollment in college courses,B,1,New Jersey requires teen drivers to complete supervised practice driving hours with a licensed adult before they can take the road test for their probationary license.
state,NJ,NJ007,stateUnique,In New Jersey what color are regulatory signs that indicate speed limits?,Yellow with black text,White with red borders,White with black text,Green with white text,C,2,In New Jersey and throughout the United States regulatory signs including speed limit signs are white with black text to clearly communicate mandatory rules to drivers.
state,NJ,NJ008,duiStateLaws,What device may be required for drivers convicted of DUI in New Jersey?,Speed limiting device,GPS tracking device,Dashboard camera,Ignition interlock device,D,3,New Jersey may require drivers convicted of DUI to install an ignition interlock device which prevents the vehicle from starting if alcohol is detected on the drivers breath.
state,NJ,NJ009,cellPhone,Who is exempt from New Jersey handheld cell phone restrictions while driving?,No one is exempt from the law,Commercial truck drivers only,Drivers over age sixty-five,Off-duty police officers,A,0,New Jersey handheld cell phone laws apply to all drivers without exception as distracted driving poses equal risks regardless of driver category or status.
state,NJ,NJ010,stateUnique,When must New Jersey drivers yield to pedestrians in a crosswalk?,Only when there is a traffic light,Whenever pedestrians are present,Only during school hours,Only if pedestrians wave at you,B,1,New Jersey law requires drivers to yield to pedestrians whenever they are present in a crosswalk regardless of traffic signals or time of day.
state,NJ,NJ011,stateUnique,Why must you check your blind spot before a lane change on NJ highways?,Mirrors show all nearby vehicles,Blind spot checks are optional,Looking over shoulder reveals hidden cars,Only side mirrors are needed,C,2,Checking your blind spot before a lane change is essential because mirrors cannot show vehicles in the area beside and slightly behind your car.
state,NJ,NJ012,stateUnique,When approaching an intersection without signs or signals who has right of way?,The larger vehicle always,The faster moving vehicle,The vehicle turning left,The vehicle on the right,D,3,At uncontrolled intersections in New Jersey the vehicle on the right has right of way which helps establish a predictable order for all drivers.
state,NJ,NJ013,stateUnique,What should you do when you see a stop sign at an intersection in New Jersey?,Come to a complete stop first,Slow down and yield to traffic,Stop only if other cars present,Flash your lights and proceed,A,0,In New Jersey and all states a stop sign requires you to come to a complete stop before proceeding regardless of whether other vehicles are present.
state,NJ,NJ014,stateUnique,How far in advance should you activate your turn signal before turning in New Jersey?,At least fifty feet before,At least one hundred feet before,Only when you begin turning,Right as you start braking,B,1,New Jersey law requires drivers to signal at least one hundred feet before making a turn to give other drivers adequate warning of your intentions.
state,NJ,NJ015,stateUnique,What is the recommended following distance behind another vehicle in good weather?,One car length per speed,Half of your current speed,At least two to three seconds,Whatever feels comfortable,C,2,In New Jersey and elsewhere experts recommend maintaining at least two to three seconds of following distance in good conditions to allow adequate reaction time.
state,NJ,NJ016,stateUnique,When is passing on the right side of a vehicle legal in New Jersey?,Never under any road circumstances,Only on roads with single lanes,Only when a road is completely empty,When the lead car is turning left,D,3,Passing on the right in New Jersey is legal when the vehicle ahead is turning left and there is sufficient space to pass safely without leaving the roadway.
state,NJ,NJ017,stateUnique,What must you do when an emergency vehicle with sirens approaches you?,Pull over and stop safely first,Speed up to get out of the way,Continue driving at same speed,Honk to alert other drivers nearby,A,0,When an emergency vehicle with sirens approaches in New Jersey you must pull over to the right and stop to allow the vehicle to pass safely.
state,NJ,NJ018,stateUnique,What should you do when approaching a railroad crossing with flashing lights?,Speed up to cross quickly,Stop and wait for the train,Honk and proceed with caution,Slow down and look around you,B,1,When railroad crossing lights are flashing in New Jersey you must stop and wait for the train to pass before proceeding across the tracks.
state,NJ,NJ019,stateUnique,What does a flashing yellow traffic signal mean at an intersection?,Stop and wait for green,Proceed at full speed ahead,Slow down and proceed carefully,Turn right only permitted,C,2,A flashing yellow traffic signal means you should slow down and proceed with caution through the intersection after checking for other traffic.
state,NJ,NJ020,stateUnique,What causes hydroplaning on wet roads in New Jersey?,Driving too slowly on water,Using winter tires in rain,Braking too hard on pavement,Tires losing contact with road,D,3,Hydroplaning occurs when tires lose contact with the road surface due to a layer of water preventing proper grip between the tire and pavement.
state,NJ,NJ021,stateUnique,When driving at night in New Jersey what should you do to improve visibility?,Use low beam headlights on roads,Drive faster to reduce exposure,Flash high beams continuously,Keep interior lights turned on,A,0,When driving at night you should use low beam headlights in most situations as they provide adequate visibility without blinding oncoming drivers.
state,NJ,NJ022,stateUnique,How far from a fire hydrant must you park in New Jersey?,Five feet away minimum,Ten feet away minimum,Fifteen feet away minimum,Twenty feet away minimum,B,1,In New Jersey you must park at least ten feet away from a fire hydrant to ensure emergency vehicles can access the hydrant when needed.
state,NJ,NJ023,stateUnique,What should you do when driving through a construction zone in New Jersey?,Maintain your regular highway speed,Speed up to exit the zone quickly,Slow down and watch for workers,Honk to alert construction crews,C,2,In a construction zone you must slow down and watch for workers as fines are typically doubled in work zones to protect road crews.
state,NJ,NJ024,stateUnique,What must you do when a pedestrian is in a marked crosswalk?,Honk to warn the pedestrian,Wave the pedestrian to cross,Proceed slowly behind them,Yield and allow them to cross,D,3,In New Jersey drivers must yield to pedestrians in marked crosswalks and allow them to cross safely before proceeding.
state,NJ,NJ025,stateUnique,When should you use high beams while driving at night in New Jersey?,On dark roads with no traffic ahead,In heavy fog for better visibility,When following another vehicle closely,In well-lit urban areas only,A,0,High beams should be used on dark roads with no oncoming traffic or vehicles ahead as they provide better visibility at night in low-traffic conditions.
state,NJ,NJ026,stateUnique,At a four-way stop with multiple vehicles who goes first?,The largest vehicle present,The first vehicle to arrive,The vehicle going straight,The vehicle turning right,B,1,At a four-way stop the first vehicle to arrive has right of way and should proceed first while others wait their turn.
state,NJ,NJ027,duiStateLaws,What happens if you refuse a DUI breathalyzer test in New Jersey?,No penalty is applied,A verbal warning is given,License suspension occurs,Community service is required,C,2,Refusing a DUI breathalyzer test in New Jersey results in automatic license suspension under implied consent laws that drivers agree to when obtaining their license.
state,NJ,NJ028,stateUnique,What should you do when driving in fog with reduced visibility in NJ?,Use high beam headlights only,Drive at your normal speed,Pull over and wait it out,Use low beams and reduce speed,D,3,When driving in fog you should use low beam headlights and reduce your speed because high beams reflect off the fog and reduce visibility further.
state,NJ,NJ029,cellPhone,What is the safest way to use a cell phone while driving in New Jersey?,Pull over to a safe location first,Use hands-free device only,Have a passenger dial for you,Wait until you are at a red light,A,0,The safest way to use a cell phone while driving is to pull over to a safe location before making or taking calls.
state,NJ,NJ030,stateUnique,When must you yield to traffic already in a roundabout in New Jersey?,Only if traffic is heavy,Always before entering the circle,Only during rush hour times,Only when signs are posted,B,1,In New Jersey you must always yield to traffic already in a roundabout before entering because vehicles in the circle have the right of way.
state,NJ,NJ031,stateUnique,What is the speed limit in a school zone in New Jersey unless otherwise posted?,Fifteen miles per hour,Twenty miles per hour,Twenty-five miles per hour,Thirty miles per hour,C,2,The speed limit in New Jersey school zones is typically twenty-five miles per hour unless signs indicate a different limit.
state,NJ,NJ032,stateUnique,Why is tailgating dangerous when driving on New Jersey highways?,It saves fuel on long trips,It helps traffic move faster,It is legal at low speeds,It reduces reaction time available,D,3,Tailgating is dangerous because it drastically reduces the time and distance you have to react if the vehicle ahead stops suddenly.
state,NJ,NJ033,stateUnique,What should you do when approaching a flashing red light at an intersection?,Treat it as a stop sign,Treat it as a yield sign,Speed up to clear quickly,Slow down and proceed,A,0,A flashing red light should be treated like a stop sign where you must come to a complete stop and yield before proceeding.
state,NJ,NJ034,stateUnique,When is it safe to overtake another vehicle on a two-lane road in NJ?,In a no passing zone,When road ahead is clear,When approaching a curve,When on a hill crest,B,1,You should only overtake another vehicle when you can clearly see the road ahead is clear of oncoming traffic and you are not in a no passing zone.
state,NJ,NJ035,stateUnique,What does a green light mean for drivers at an intersection?,Stop until light changes,Slow down and prepare,Proceed if intersection is clear,Turn left only is permitted,C,2,A green light means you may proceed through the intersection if it is clear of traffic and pedestrians and safe to do so.
state,NJ,NJ036,stateUnique,What is the proper sequence for making a lane change on NJ highways?,Signal then immediately move,Check mirrors then move over,Speed up then change lanes,Signal check mirror then move,D,3,The proper sequence for a lane change is to signal your intention check your mirrors and blind spot and then smoothly move into the new lane.
state,NJ,NJ037,stateUnique,What direction should you face when parallel parking on a NJ street?,Same direction as traffic flow,Against the flow of traffic,At an angle to traffic,Perpendicular to traffic,A,0,When parallel parking in New Jersey you must park your vehicle facing the same direction as the flow of traffic on that side of the road.
state,NJ,NJ038,stateUnique,How close to the curb should you park when parking on a NJ street?,At least two feet away,Within six inches of the curb,At least twelve inches away,Within two feet is acceptable,B,1,When parking on a New Jersey street you should position your vehicle within six inches of the curb to allow traffic to flow safely.
state,NJ,NJ039,stateUnique,What does an octagon shaped sign always mean on New Jersey roads?,Yield to other traffic,Warning of hazard ahead,Stop before proceeding,Railroad crossing ahead,C,2,An octagon shaped sign is always a stop sign which means you must come to a complete stop before the intersection.
state,NJ,NJ040,stateUnique,What should you do if your vehicle starts to hydroplane on a wet road?,Accelerate to regain control,Brake hard to slow down,Turn the steering wheel sharply,Ease off the gas and steer straight,D,3,If your vehicle starts to hydroplane you should ease off the gas pedal and steer straight to regain control without making sudden movements.
